LDA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
0,8,7,13,24,11,3,6,2,0,4,2,4,3,3,25,2,2,2,2,7,3,1,0,1,0,0,1,2,0,0,1,1,0,0,0,0,69,1,9,0,0,1,0,1,2,1,1,0,1,0,2,0,0,0,3,6,0,3,0,5,1,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,1,1,0,9,0,0,0,0,0,1,3,2,0,0
1,1,2,1,3,4,1,8,8,0,3,0,10,1,12,2,4,0,2,2,3,0,3,12,2,6,1,3,4,5,0,1,0,0,0,1,1,0,1,3,0,3,0,1,0,2,2,1,1,3,7,1,1,0,0,0,17,0,3,0,0,78,2,1,0,0,1,1,11,4,0,1,0,0,0,13,0,3,0,0,0,1,3,0,1,0,1,0,9,0,1,0,4,0,3
2,4,4,4,4,16,6,3,7,1,3,1,8,1,1,3,1,0,1,1,19,1,2,1,2,1,0,4,3,0,0,0,1,0,0,0,0,0,1,1,0,1,0,39,0,0,0,1,0,1,22,0,2,1,0,0,1,0,18,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,11,0,11,0,0,1,0,1,1,0,0,9,2,16,0,7,0,0,1,3
3,6,1,1,1,1,9,0,1,0,0,17,0,1,0,4,0,2,4,2,1,1,0,0,0,0,0,0,5,2,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
4,2,2,1,8,1,1,1,4,1,1,2,4,1,3,3,0,1,1,8,7,1,0,2,2,0,6,1,4,0,0,1,0,0,9,5,1,0,1,0,4,5,10,0,3,0,0,1,3,0,1,2,1,1,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,1,1,0,0,1,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,3,3,2,3,6,1,1,1,0,1,1,1,1,0,3,9,1,0,3,1,1,2,0,38,1,0,1,2,0,1,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
6,5,1,1,2,15,3,9,1,6,2,0,2,2,1,4,3,1,1,1,7,5,0,0,1,1,5,0,1,1,0,2,0,0,1,0,0,0,0,1,1,13,0,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,3,1,4,169,1,1,1,0,1,0,1,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,19,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,9,4,2,6,36,1,7,10,1,0,0,15,1,2,7,4,1,6,6,5,4,0,4,28,0,2,0,9,2,0,4,6,0,0,5,0,1,3,0,2,0,0,0,0,0,3,0,0,0,3,0,0,2,0,1,0,0,1,1,3,0,3,1,3,3,0,2,2,0,2,3,0,0,0,2,0,2,1,9,1,1,1,0,7,0,0,0,1,0,0,1,6,0,1
9,11,2,0,7,5,5,2,16,24,5,1,1,1,9,22,6,2,3,3,23,1,2,3,5,177,2,1,7,2,0,2,2,0,2,2,0,5,4,9,1,9,1,3,1,2,2,3,0,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,3,20,0,0,1,0,2,1,0,1,1,0,4,0,0,1,0,0,4,0,0,1,1,3,0,3
10,10,2,2,2,10,13,3,14,1,1,2,2,0,1,1,2,1,4,5,3,6,2,19,1,2,5,3,1,28,0,11,1,0,1,2,0,0,2,1,1,5,1,5,1,2,1,1,0,4,3,12,5,2,0,0,2,1,6,0,3,2,1,2,0,3,0,2,0,0,0,2,0,0,0,5,3,3,1,0,1,1,1,0,0,1,2,1,1,0,2,0,3,1,3
11,13,17,1,14,9,17,18,8,0,7,2,14,1,3,2,0,4,11,1,2,2,5,5,14,0,2,6,0,1,0,7,3,0,0,2,0,4,4,2,2,0,0,0,0,1,0,3,0,2,2,0,4,1,0,5,3,0,1,2,3,0,0,0,1,6,0,0,0,0,1,0,0,2,2,0,1,1,0,2,0,1,3,0,1,0,2,0,0,0,0,1,2,1,0
12,17,8,2,1,7,9,9,5,2,2,2,0,4,2,3,1,4,9,1,2,2,1,0,15,0,3,1,1,1,0,1,53,0,2,1,0,0,2,0,0,1,0,0,0,2,1,2,4,0,2,2,0,2,0,0,0,0,0,3,0,0,0,1,1,5,1,0,1,1,0,0,0,0,1,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
13,1,3,9,5,3,1,2,7,2,1,0,25,1,1,1,0,1,35,0,2,1,3,2,7,0,0,40,0,0,0,11,44,0,0,0,0,5,1,2,1,0,1,3,0,0,0,0,50,0,0,2,0,0,0,1,0,1,0,7,0,0,1,1,6,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
14,5,2,2,2,3,1,14,2,1,1,0,1,1,0,1,0,3,0,2,4,0,1,1,1,0,2,2,4,6,0,0,0,0,0,2,0,0,5,1,0,2,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,12,15,48,34,21,16,9,3,5,20,7,27,17,8,3,18,17,15,4,32,2,23,4,2,22,2,5,11,0,5,1,0,6,18,0,1,8,7,21,10,12,2,28,10,5,2,4,2,0,7,6,17,0,12,2,1,3,3,8,0,2,0,4,8,0,1,8,0,2,7,0,1,0,1,3,3,2,2,4,10,3,0,2,2,0,1,0,0,1,8,1,0,0
16,4,2,3,4,6,2,0,3,6,1,10,4,2,0,3,80,0,1,4,11,4,2,4,5,1,2,2,3,72,0,0,1,0,1,1,0,0,5,2,2,7,0,1,3,1,1,0,1,0,4,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0
17,1,6,4,13,3,2,3,5,0,1,5,3,1,3,2,0,0,6,0,7,5,1,15,6,0,1,0,2,0,0,0,1,0,0,0,4,5,5,17,0,0,2,0,1,0,0,0,3,0,4,0,0,0,0,3,3,0,3,0,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,10,2,1,3,0,0,1,0,1,1,0,2,0,0,1,0,1,0,3
18,0,3,1,2,5,0,1,4,0,1,5,1,1,1,4,0,2,2,1,1,4,0,0,3,1,2,0,5,1,0,12,0,0,3,0,0,0,0,1,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,19,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0
19,3,2,1,5,5,5,1,2,57,0,0,3,0,0,7,63,1,9,4,7,0,1,3,2,1,0,1,3,0,0,1,0,0,0,3,0,0,0,4,0,8,0,2,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,65,1,1,0,1,0,0,1,1,0,2,1,1,0,0,0,1,0,0,2,0,1,0,1,1,0,0,1,0,1,1,0
20,0,0,0,1,4,1,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
